dep;jour;current_hosp;current_critical;total_returned_home;total_death;cumulative_hosp;cumulative_critical;cumulative_death;cumulative_returned_home;new_hosp;new_critical;new_death;new_returned_home;current_men_hosp;current_men_critical;total_men_returned_home;total_men_death;current_women_hosp;current_women_critical;total_women_returned_home;total_women_death
01;2020-03-19;2;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0
01;2020-03-20;2;0;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0
01;2020-03-21;4;0;1;0;4;0;0;1;3;0;0;0;1;0;1;0;3;0;0;0
01;2020-03-22;8;1;2;0;7;1;0;2;3;1;0;1;4;1;1;0;4;0;1;0
01;2020-03-23;17;3;7;0;21;2;0;7;14;1;0;5;12;3;5;0;5;0;2;0
01;2020-03-24;22;3;11;0;32;3;0;11;11;1;0;4;17;3;6;0;5;0;5;0
01;2020-03-25;29;6;15;0;44;5;0;16;12;2;0;5;20;5;9;0;9;1;6;0
01;2020-03-26;33;6;17;2;57;7;2;18;13;2;2;2;22;5;10;0;11;1;7;2
01;2020-03-27;49;9;17;2;72;10;2;18;15;3;0;0;33;8;10;0;16;1;7;2
01;2020-03-28;53;12;20;3;79;13;3;21;7;3;1;3;35;9;12;1;18;3;8;2
01;2020-03-29;55;13;23;6;89;15;6;24;10;2;3;3;35;10;14;4;18;3;9;2
01;2020-03-30;67;19;24;10;108;21;10;25;19;6;4;1;39;14;15;5;24;4;9;4
01;2020-03-31;72;16;33;10;128;21;11;34;20;0;1;9;41;11;20;6;30;4;12;4
01;2020-04-01;92;28;43;12;166;35;13;44;38;14;2;10;48;15;26;7;42;12;13;5
01;2020-04-02;105;33;62;14;199;42;15;63;33;7;2;19;60;21;36;8;42;11;22;6
01;2020-04-03;100;31;74;17;213;45;18;76;14;3;3;13;59;19;43;9;38;11;27;8
01;2020-04-04;109;32;83;22;238;54;23;85;25;9;5;9;63;22;49;13;43;9;30;9
01;2020-04-05;112;30;86;24;248;58;25;88;10;4;2;3;64;20;51;14;45;9;31;10
01;2020-04-06;115;30;92;25;258;60;26;94;10;2;1;6;65;20;53;15;47;9;35;10
01;2020-04-07;119;32;97;27;273;63;28;99;15;3;2;5;64;21;58;17;52;10;35;10
01;2020-04-08;124;34;105;31;292;71;32;108;19;8;4;9;67;21;62;19;54;12;39;12
01;2020-04-09;125;33;112;35;305;74;36;115;13;3;4;7;72;21;64;20;49;10;44;15
01;2020-04-10;128;28;119;40;322;76;41;123;17;2;5;8;73;19;68;24;52;7;46;16
01;2020-04-11;118;30;132;42;329;79;43;137;7;3;2;14;68;21;76;24;47;7;51;18
01;2020-04-12;118;30;136;42;333;81;43;141;4;2;0;4;68;22;78;24;47;6;53;18
01;2020-04-13;120;30;139;44;344;82;45;144;11;1;2;3;67;21;80;25;50;7;54;19
01;2020-04-14;134;29;144;46;358;83;47;149;14;1;2;5;68;20;82;26;61;7;57;20
01;2020-04-15;139;23;170;52;393;83;53;177;35;0;6;28;69;15;98;32;65;6;67;20
01;2020-04-16;153;24;169;52;408;85;53;180;15;2;0;3;73;17;99;32;74;5;65;20
01;2020-04-17;152;24;177;55;416;87;56;189;8;2;3;9;75;17;103;33;71;6;69;21
01;2020-04-18;173;25;181;60;447;90;61;193;31;3;5;4;82;17;105;35;87;7;70;24
01;2020-04-19;172;24;183;60;450;91;61;195;3;1;0;2;82;17;106;35;86;6;71;24
01;2020-04-20;170;22;186;62;454;92;63;198;4;1;2;3;81;17;106;36;86;4;74;25
01;2020-04-21;169;23;196;64;466;95;65;209;12;3;2;11;81;19;111;38;85;4;79;25
01;2020-04-22;167;19;211;68;480;96;69;224;14;1;4;15;81;16;117;39;82;3;88;28
01;2020-04-23;164;20;220;72;489;96;73;233;9;0;4;9;79;16;122;42;82;4;92;29
01;2020-04-24;166;20;224;73;495;96;74;238;6;0;1;5;79;16;123;43;84;4;95;29
01;2020-04-25;162;19;229;75;498;96;76;243;3;0;2;5;80;16;124;44;80;3;98;30
01;2020-04-26;165;19;230;75;502;96;76;244;4;0;0;1;81;16;124;44;81;3;99;30
02;2020-03-19;43;15;33;19;38;9;10;15;38;9;10;15;23;7;16;13;20;8;17;6
02;2020-03-20;52;19;40;24;48;12;13;24;10;3;3;9;30;10;18;16;22;9;22;8
02;2020-03-21;61;20;49;25;78;16;14;33;30;4;1;9;31;9;20;17;30;11;29;8
02;2020-03-22;69;21;55;28;91;17;17;41;13;1;3;8;35;9;23;20;34;12;32;8
02;2020-03-23;91;23;62;30;118;18;19;46;27;1;2;5;48;12;26;21;42;11;36;9
02;2020-03-24;107;27;85;33;164;22;22;69;46;4;3;23;57;13;33;24;50;14;52;9
02;2020-03-25;115;32;92;34;179;27;23;77;15;5;1;8;62;18;38;25;53;14;54;9
02;2020-03-26;124;35;102;36;202;30;25;87;23;3;2;10;67;21;42;27;57;14;60;9
02;2020-03-27;132;35;90;37;218;33;26;92;16;3;1;5;71;20;38;28;61;15;52;9
02;2020-03-28;134;34;95;41;244;35;30;105;26;2;4;13;73;19;44;28;61;15;51;13
02;2020-03-29;136;34;96;42;249;36;31;106;5;1;1;1;73;19;44;28;62;15;52;14
02;2020-03-30;135;34;67;44;258;40;33;109;9;4;2;3;73;19;32;30;62;15;35;14
